1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,target
2,2,12,0,3,5,2,0,1,0,1,3,8,10,6,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,2,0,1,2,5,2,0,0,0,1,0,0,0,0,0,0,0
0,0,5,0,1,1,2,0,0,0,1,1,6,11,2,0,1,0,0,0,0,1,0,0,0,0
14,0,3,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
0,0,16,0,1,5,0,0,0,0,0,2,8,9,4,0,1,0,1,0,0,1,0,0,0,0
0,0,8,12,1,2,3,0,1,1,0,1,16,10,3,0,0,0,1,0,0,0,0,0,0,0
0,0,24,5,4,7,2,0,1,0,0,2,12,17,5,0,1,0,0,0,0,2,0,0,0,0
4,0,5,0,2,3,1,0,0,0,0,3,5,7,4,0,1,0,0,0,0,0,0,0,0,0
2,0,3,0,2,2,2,0,0,0,0,1,8,2,2,0,0,0,1,0,0,1,0,0,0,0
0,0,3,3,2,4,0,0,0,0,0,3,13,6,0,1,0,0,0,0,0,1,0,0,0,0
0,0,10,0,0,0,2,0,0,0,0,3,9,8,3,0,0,0,1,0,0,0,0,0,0,0
2,1,1,0,2,2,1,0,1,0,0,0,9,18,0,0,1,0,1,0,0,0,0,0,0,0
0,0,12,5,3,1,1,0,1,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,0,0
0,0,33,13,4,2,5,0,1,0,2,1,21,13,5,1,0,0,1,1,0,0,1,0,0,0
0,0,6,1,1,2,1,0,0,1,1,3,14,16,4,0,0,0,1,0,0,0,0,0,0,0
0,0,8,0,1,1,2,0,0,1,1,2,8,7,1,0,0,0,1,0,0,0,0,0,0,0
0,0,17,9,4,5,3,0,1,0,0,2,3,8,4,0,1,0,1,0,0,2,0,0,0,0
0,0,21,5,3,5,2,0,1,0,0,2,5,14,1,0,0,1,1,0,0,1,0,0,0,0
1,0,5,0,1,5,1,0,1,0,1,3,4,10,3,0,0,0,0,0,0,1,0,0,0,0
0,0,13,0,0,3,0,0,0,0,0,1,9,9,1,0,1,0,1,0,0,0,0,0,0,0
0,0,39,5,4,3,1,0,0,0,1,1,7,8,2,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,0,2,0,0,0,0,0,2,10,8,4,0,1,0,0,0,0,0,0,0,0,0
0,0,0,10,4,4,2,0,0,0,0,1,10,4,0,0,0,0,1,0,0,0,0,0,0,0
0,0,20,4,1,1,0,0,0,0,0,1,7,7,0,0,1,0,0,0,0,0,1,0,0,0
3,0,7,0,3,1,2,0,0,0,0,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0
1,1,0,10,2,2,2,0,1,0,0,1,9,5,2,0,0,0,0,0,0,0,1,0,0,0
1,0,34,5,5,6,4,0,0,0,1,2,15,11,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,1,0,0,0,0,0,3,11,11,6,0,0,0,1,0,0,0,0,0,0,0
0,0,13,0,3,3,0,0,1,0,0,1,6,6,2,0,0,0,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,1,0,1,0,1,8,7,0,0,1,0,0,0,0,0,0,0,0,0
0,0,14,3,1,2,1,1,0,1,0,2,7,7,1,0,1,1,0,0,0,0,0,0,0,0
0,0,18,0,0,1,2,0,0,1,0,0,10,3,0,0,1,0,1,0,0,0,0,0,0,0
0,0,10,0,1,2,0,0,0,0,0,1,6,3,0,0,1,0,1,0,0,0,0,0,0,0
0,0,13,5,7,8,5,0,0,0,1,1,22,9,3,0,1,0,0,0,0,0,1,0,0,0
